RcvBu,PA,ItemNo,ItemName,SL,CreQty,ConfQty,LatestQty,OrdUnit,OrdStat,CreDate,LatestDispDate,PlanDispDate,LatestRcvDate,PlanRcvDate,OrdMethod,SendBU,SendBUType,CSM id,SM,DelMark,DelMax,EDS,Reason Code,AvailInfo,GPS id,SeqNo,MHS id,External id,HFB,PA,ArtNo.,ItemName,LatestQty,CSM id,Container NO.,"Planned Logistics Receiving
(Date)",Customs Cleared ,Arrived at the port,SSD,EDS,BOH/EWS,Type,Lut Code,NEWs Planned,SM,SLID Activation,Port,PQ,BOH,"Actual
Arrival
Date",Volume area,Key Article,Prioritize articles,SL,TYPE2,Vol.,Qty. * Vol.,DT,LT,"Created+LT
(WK)","LatestRcvDate
(WK)","Planned Logistics Receiving
(WK)","PlanRcvDate
WK",Dev,MPQ,PQ,SLID
582,1622,80624061,ALOCASIA potted plant 10 Alocasia 14-28 KR,5,20,20,20,,Confirmed,2026-01-22,04-6-2026,,05-6-2026,,FIX,50184,SUP,,,,,01-10-2026,,Discontinued article - no more rest to order,01208338948,6,2601223406,,16,1622,80624061,ALOCASIA potted plant 10 Alocasia 14-28 KR,20,,,,,,20260401,20261001,13.4,,,Yes,0,Active Now,,20,87,,,,//,2,,0.0027,0.054,1,1.6,5.6,23,Not yet,No info,#VALUE!,20,32,6.5
582,1622,80624061,ALOCASIA potted plant 10 Alocasia 14-28 KR,5,20,20,20,,Consigned,2026-01-22,28-5-2026,28-5-2026,29-5-2026,29-5-2026,FIX,50184,SUP,50184SUP50184GH2622A,,,,01-10-2026,DELIVERY PROCESS; Order volume not enough for full load (4.2),Discontinued article - no more rest to order,01208338948,4,2601223404,,16,1622,80624061,ALOCASIA potted plant 10 Alocasia 14-28 KR,20,50184SUP50184GH2622A,,,,,20260401,20261001,13.4,,,Yes,0,Active Now,,20,87,,,,//,2,,0.0027,0.054,1,1.6,5.6,22,Not yet,22,#VALUE!,20,32,6.5
582,1622,80624061,ALOCASIA potted plant 10 Alocasia 14-28 KR,5,20,20,20,,Consigned,2026-01-22,28-5-2026,28-5-2026,29-5-2026,29-5-2026,FIX,50184,SUP,50184SUP50184GH2622A,,,,01-10-2026,,Discontinued article - no more rest to order,01208338948,5,2601223405,,16,1622,80624061,ALOCASIA potted plant 10 Alocasia 14-28 KR,20,50184SUP50184GH2622A,,,,,20260401,20261001,13.4,,,Yes,0,Active Now,,20,87,,,,//,2,,0.0027,0.054,1,1.6,5.6,22,Not yet,22,#VALUE!,20,32,6.5
582,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,5,20,20,20,,Confirmed,2026-01-22,04-6-2026,,05-6-2026,,FIX,50184,SUP,,,,,01-10-2026,,Discontinued article - no more rest to order,01208338948,14,2601223414,,16,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,20,,,,,,20260401,20261001,0.9,,,Yes,0,Active Now,,20,15,,,,//,2.5,,0.00256,0.0512,1,1.6,5.6,23,Not yet,No info,#VALUE!,20,20,17.8
582,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,5,20,20,20,,Confirmed,2026-01-22,11-6-2026,,12-6-2026,,FIX,50184,SUP,,,,,01-10-2026,,Discontinued article - no more rest to order,01208338948,15,2601223415,,16,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,20,,,,,,20260401,20261001,0.9,,,Yes,0,Active Now,,20,15,,,,//,2.5,,0.00256,0.0512,1,1.6,5.6,24,Not yet,No info,#VALUE!,20,20,17.8
582,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,5,20,20,20,,Confirmed,2026-01-22,18-6-2026,,19-6-2026,,FIX,50184,SUP,,,,,01-10-2026,,Discontinued article - no more rest to order,01208338948,16,2601223416,,16,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,20,,,,,,20260401,20261001,0.9,,,Yes,0,Active Now,,20,15,,,,//,2.5,,0.00256,0.0512,1,1.6,5.6,25,Not yet,No info,#VALUE!,20,20,17.8
582,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,5,20,20,20,,Confirmed,2026-01-22,25-6-2026,,26-6-2026,,FIX,50184,SUP,,,,,01-10-2026,,Discontinued article - no more rest to order,01208338948,13,2601223413,,16,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,20,,,,,,20260401,20261001,0.9,,,Yes,0,Active Now,,20,15,,,,//,2.5,,0.00256,0.0512,1,1.6,5.6,26,Not yet,No info,#VALUE!,20,20,17.8
582,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,5,20,20,20,,Consigned,2026-01-22,28-5-2026,28-5-2026,29-5-2026,29-5-2026,FIX,50184,SUP,50184SUP50184GH2622A,,,,01-10-2026,DELIVERY PROCESS; Order volume not enough for full load (4.2),Discontinued article - no more rest to order,01208338948,11,2601223411,,16,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,20,50184SUP50184GH2622A,,,,,20260401,20261001,0.9,,,Yes,0,Active Now,,20,15,,,,//,2.5,,0.00256,0.0512,1,1.6,5.6,22,Not yet,22,#VALUE!,20,20,17.8
582,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,5,20,20,20,,Consigned,2026-01-22,28-5-2026,28-5-2026,29-5-2026,29-5-2026,FIX,50184,SUP,50184SUP50184GH2622A,,,,01-10-2026,,Discontinued article - no more rest to order,01208338948,12,2601223412,,16,1622,20624059,EUPHORBIA TIRUCALLI potted plant 10 19-29 KR,20,50184SUP50184GH2622A,,,,,20260401,20261001,0.9,,,Yes,0,Active Now,,20,15,,,,//,2.5,,0.00256,0.0512,1,1.6,5.6,22,Not yet,22,#VALUE!,20,20,17.8
582,821,40607011,HÖGVED chr green AP,4,16,0,16,2,Created,2026-02-09,,,2026-08-14,,FIX,258,DT,,,0,,,DC stock reduction (441),,,,2602090201,,08,0821,40607011,HÖGVED chr green AP,16,,,,,,20251001,0,25.0,,,Yes,2,Active Now,,16,25,,,Yes,+++//,4.1,,0.055157,0.882512,1,7.6,14.6,33,Not yet,No info,#VALUE!,16,20,1
